epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,1904.48,1.37429,0.86408,0.94777,0.5699,0.46538,0.47755,0.25965,1.68696,1.66095,1.3458,0.0002971,0.0002971,0.0002971
144,1917.49,1.41852,0.88585,0.95216,0.55481,0.47076,0.45449,0.24696,1.69849,1.72665,1.36577,0.00029215,0.00029215,0.00029215
145,1929.7,1.37765,0.85596,0.9419,0.58593,0.46382,0.46816,0.25124,1.6914,1.66697,1.35221,0.0002872,0.0002872,0.0002872
146,1942.04,1.38477,0.86726,0.94609,0.62106,0.4603,0.47244,0.26036,1.66467,1.62642,1.34006,0.00028225,0.00028225,0.00028225
147,1954.31,1.39617,0.87081,0.94654,0.5712,0.46347,0.45858,0.2549,1.68345,1.67352,1.35296,0.0002773,0.0002773,0.0002773
148,1966.76,1.38421,0.86256,0.94463,0.57442,0.45998,0.45962,0.24802,1.68254,1.64079,1.35525,0.00027235,0.00027235,0.00027235
149,1979.33,1.38822,0.87274,0.94989,0.51747,0.48477,0.4482,0.24752,1.68919,1.67284,1.3468,0.0002674,0.0002674,0.0002674
150,1991.55,1.36173,0.85024,0.94183,0.56963,0.46696,0.45229,0.25467,1.68962,1.66193,1.35585,0.00026245,0.00026245,0.00026245
151,2003.81,1.37976,0.85666,0.94058,0.52636,0.45413,0.43494,0.24056,1.70174,1.70409,1.36811,0.0002575,0.0002575,0.0002575
152,2017.84,1.35463,0.84506,0.93823,0.60663,0.44338,0.44664,0.24755,1.6993,1.62588,1.34074,0.00025255,0.00025255,0.00025255
153,2033.44,1.39737,0.86438,0.9379,0.54994,0.46055,0.44336,0.24689,1.70365,1.71263,1.38154,0.0002476,0.0002476,0.0002476
154,2046.45,1.37752,0.85004,0.93921,0.55036,0.45327,0.45131,0.25371,1.68481,1.69017,1.34545,0.00024265,0.00024265,0.00024265
155,2059.77,1.37898,0.86094,0.94374,0.55801,0.46716,0.45184,0.25095,1.65976,1.68198,1.34109,0.0002377,0.0002377,0.0002377
156,2073.45,1.36289,0.84367,0.93181,0.64524,0.44384,0.46646,0.2561,1.66555,1.6611,1.32636,0.00023275,0.00023275,0.00023275
157,2086.02,1.35889,0.83359,0.93093,0.5588,0.47913,0.46138,0.25659,1.65375,1.63663,1.33678,0.0002278,0.0002278,0.0002278
158,2098.6,1.35275,0.85204,0.93676,0.54208,0.47531,0.45578,0.2521,1.69822,1.6547,1.36226,0.00022285,0.00022285,0.00022285
159,2111.05,1.35263,0.82918,0.93493,0.53253,0.49507,0.46346,0.25649,1.70307,1.62743,1.39004,0.0002179,0.0002179,0.0002179
160,2123.54,1.35836,0.83294,0.93976,0.58243,0.47515,0.46339,0.25986,1.68916,1.66526,1.36567,0.00021295,0.00021295,0.00021295
161,2135.87,1.36839,0.83812,0.93907,0.5239,0.47852,0.45938,0.25731,1.69505,1.67604,1.36092,0.000208,0.000208,0.000208
162,2148.07,1.33445,0.82938,0.93333,0.58681,0.43391,0.45393,0.25326,1.71265,1.70065,1.38972,0.00020305,0.00020305,0.00020305
163,2160.49,1.33891,0.82805,0.92895,0.52599,0.49736,0.46528,0.25897,1.69981,1.6573,1.37816,0.0001981,0.0001981,0.0001981
164,2173.37,1.35513,0.82578,0.92868,0.60296,0.44216,0.45697,0.25344,1.68607,1.64789,1.3567,0.00019315,0.00019315,0.00019315
165,2185.73,1.34392,0.83021,0.93637,0.52585,0.47884,0.44839,0.24976,1.68032,1.6537,1.36463,0.0001882,0.0001882,0.0001882
166,2198.34,1.33515,0.82384,0.9357,0.55555,0.47775,0.46676,0.26346,1.66984,1.63404,1.35567,0.00018325,0.00018325,0.00018325
167,2210.36,1.32293,0.81698,0.93044,0.56801,0.46967,0.47253,0.26382,1.69272,1.62984,1.3525,0.0001783,0.0001783,0.0001783
168,2222.72,1.33083,0.81117,0.92855,0.57829,0.45642,0.46243,0.25555,1.70271,1.62967,1.37709,0.00017335,0.00017335,0.00017335
169,2236.38,1.3405,0.82487,0.92972,0.60398,0.45734,0.46936,0.25843,1.68368,1.59347,1.35881,0.0001684,0.0001684,0.0001684
170,2266.04,1.33127,0.80991,0.92961,0.57924,0.46384,0.4627,0.25453,1.66806,1.59176,1.3746,0.00016345,0.00016345,0.00016345
171,2278.26,1.32835,0.80964,0.92875,0.55991,0.44988,0.46168,0.25474,1.67851,1.65355,1.36371,0.0001585,0.0001585,0.0001585
172,2290.86,1.33452,0.82195,0.93171,0.61032,0.44024,0.46848,0.26093,1.65568,1.67208,1.33725,0.00015355,0.00015355,0.00015355
173,2303.76,1.32267,0.81736,0.93532,0.56955,0.46424,0.46582,0.2558,1.66962,1.60906,1.35295,0.0001486,0.0001486,0.0001486
174,2316,1.3202,0.80735,0.92636,0.5553,0.44949,0.45701,0.25194,1.68865,1.62636,1.37145,0.00014365,0.00014365,0.00014365
175,2328.23,1.33594,0.82201,0.93585,0.56305,0.44974,0.45299,0.25506,1.69624,1.60563,1.37924,0.0001387,0.0001387,0.0001387
176,2340.59,1.33147,0.81464,0.92905,0.52097,0.4826,0.4653,0.26044,1.69263,1.58101,1.37364,0.00013375,0.00013375,0.00013375
177,2352.75,1.31403,0.80294,0.92377,0.56208,0.46873,0.46661,0.26422,1.70276,1.54904,1.37944,0.0001288,0.0001288,0.0001288
178,2365.02,1.32362,0.81046,0.92521,0.55946,0.44828,0.46212,0.25156,1.68995,1.57397,1.371,0.00012385,0.00012385,0.00012385
179,2377.14,1.3115,0.81079,0.93186,0.55532,0.46253,0.45643,0.24924,1.72694,1.62613,1.40848,0.0001189,0.0001189,0.0001189
180,2389.34,1.31713,0.8042,0.92404,0.62251,0.41212,0.45797,0.25168,1.70419,1.60131,1.38259,0.00011395,0.00011395,0.00011395
181,2401.64,1.32146,0.79556,0.92151,0.59175,0.43227,0.46444,0.25409,1.70711,1.64863,1.38139,0.000109,0.000109,0.000109
182,2413.96,1.31276,0.79615,0.92152,0.59858,0.43962,0.46115,0.25475,1.70745,1.63304,1.39531,0.00010405,0.00010405,0.00010405
